GAGEID text,LONG,LAT,cluster
1094400,-71.78791995,42.57622116,2
1094500,-71.72188526,42.49533156,2
1095220,-71.79130319,42.41085756,2
1096000,-71.65800168,42.63414698,2
1096500,-71.57562033,42.66753509,2
1097000,-71.44996935,42.43233717,4
1097300,-71.40466365,42.51248236,4
1098530,-71.39744878,42.32532596,4
1099500,-71.30194405,42.6368035,4
1100000,-71.29810454,42.6464372,4
1100600,-71.21519317,42.56811547,4
1101000,-70.94564052,42.75262733,4
1101500,-71.02699221,42.56963652,4
1102000,-70.8936938,42.65964957,4
1102345,-71.006815,42.46956039,4
1102500,-71.13845365,42.44731854,4
1103500,-71.26000196,42.25631907,4
1104200,-71.22752213,42.31639447,4
1104500,-71.23374863,42.37255012,4
1105000,-71.20089063,42.17756743,0
1105500,-71.14588436,42.15453247,0
1105600,-70.94491509,42.19014656,0
1105730,-70.82252026,42.10052638,0
1105870,-70.73366147,41.99068727,0
1105880,-70.10704201,41.70022806,0
1105933,-70.99038882,41.58529399,0
1108000,-70.95642841,41.93395227,0
1108500,-71.25999034,42.00023312,0
1109000,-71.17651133,41.94741947,0
1109060,-71.12268746,41.86630528,0
1109070,-71.14305099,41.84032052,0
1109500,-71.83499639,42.23181664,2
1110000,-71.71089997,42.23066199,2
1110500,-71.6521304,42.15346009,2
1123360,-72.12618188,42.10845374,2
1123600,-72.05837819,42.0826116,2
1124350,-71.8811735,42.1184324,2
1161500,-72.08547146,42.71263459,2
1162000,-72.08340318,42.68437104,2
1162500,-72.11495056,42.68265284,2
1163200,-72.04094013,42.58836921,2
1165500,-72.36001941,42.60255054,1
1166500,-72.43796583,42.59762852,1
1168151,-72.97694351,42.68225577,3
1168500,-72.85435987,42.62544037,3
1169000,-72.7248428,42.63824048,1
1169900,-72.69373141,42.54206962,1
1170000,-72.65323115,42.53602225,1
1170100,-72.67066526,42.70340886,1
1170500,-72.57437283,42.57926564,1
1171300,-72.50583735,42.35854267,1
1171500,-72.6650574,42.31902116,1
1172500,-72.02516873,42.42583407,2
1173000,-72.06036841,42.39053524,2
1173500,-72.27256845,42.23612852,1
1174000,-72.33445345,42.47849571,1
1174500,-72.23909629,42.3930965,1
1174565,-72.38175412,42.45508888,1
1174600,-72.38811959,42.35444833,1
1174900,-72.36987461,42.3356546,1
1175500,-72.33269883,42.26794263,1
1175670,-72.00528283,42.26483125,2
1176000,-72.26344472,42.18241207,1
1177000,-72.51396331,42.16076541,1
1179500,-72.86430008,42.2879075,3
1180000,-72.87033975,42.29095138,3
1180500,-72.87258349,42.258837,3
1181000,-72.895851,42.23704654,3
1183500,-72.69893674,42.10598839,1
1185500,-73.07311239,42.07862485,3
1187300,-72.93967564,42.03717956,3
1197000,-73.19729376,42.46931724,3
1197500,-73.35462614,42.23195303,3
1198000,-73.39135311,42.19286252,3
1331500,-73.12405652,42.61124831,3
1332000,-73.09324677,42.70248321,3
1332500,-73.15900047,42.70042567,3
1333000,-73.19677926,42.70903386,3
1095375,-71.8281279,42.37286967,2
1100561,-71.208393,42.7431456,4
1100627,-71.1492239,42.6714806,4
1103025,-71.1339422,42.40704077,4
1103280,-71.3895032,42.1398197,0
1103455,-71.29339017,42.25398645,4
1104430,-71.2733903,42.3981512,4
1104460,-71.2706123,42.368985,4
1104475,-71.2681121,42.3545408,4
1105554,-71.1458851,42.2092655,0
1105583,-70.9781026,42.22093308,0
1105585,-70.9972703,42.24787726,0
1105638,-70.8719892,42.2348226,0
1105876,-70.6225338,41.94177039,0
1105917,-70.8383696,41.66260446,0
1108410,-71.0894897,41.8998232,0
1109730,-71.7650702,42.1889835,2
1111212,-71.6164542,42.05481959,2
1124500,-71.89007238,42.11592856,2
1125000,-71.8842387,42.0509298,2
1198125,-73.333427,42.07470689,3
